"Key","cURL","Name"
"CC202000010","/office/office_0001.html","엑셀 셀 (24.12.01)"
"CC202000020","/office/office_0008.html","엑셀 수식 (24.12.01)"
"CC202000030","/office/office_0002.html","HWP"
"CC202000040","/office/office_0003.html","3벌식"
"CC202000050","/office/office_0004.html","파워포인트"
"CC202000060","/office/office_0005.html","Sticky Notes"
"CC202000070","/office/office_0006.html","윈도우"
"CC202000090","/office/office_0007.html","맥OS"
"CC202000100","/conhtml/mpb_0001.html","인공지능의 역사"
"CC202000110","/conhtml/mpb_0002.html","인공지능의 요소기술"
"CC202000120","/conhtml/C2409291.html","MY PGM "
"CC202000130","/conhtml/C0000001.html","안과"
"CC202000140","/conhtml/C0000002.html","노인내과"
"CC202000150","/conhtml/C0000003.html","한국의 잃어버릴 30년 (박석중)"
"CC202000160","/conhtml/C2409141.html","금투세 유예 외치는 이유 (이언주)"
"CC202000170","/conhtml/C2409181.html","중국 디플레이션 (안유화_815머니톡)"
"CC202000180","/eco/eco_0100.html","연준_몸과 마음이 따로 노는 이유 (문홍철_연합뉴스_20240126)"
"CC202000190","/docu/docu_0016.html","Doc0016. 이렇게 계획 세우면 저절로 부지런해집니다. (삼프로 _ 김결일의 지혜의 밤 11화)"
"CC202000200","/docu/docu_0011.html","Doc0011. 메가스터디 _ 손주은 _ 삼프로TV"
"CC202000210","/docu/docu_0012.html","Doc0012. KBS 새해맞이 특별강연. 문화심리학자 김정운"
"CC202000220","/docu/docu_0013.html","Doc0013. 2023.08 유튜브"
"CC202000230","/docu/docu_0014.html","Doc0014. 2023.09 유튜브"
"CC202000240","/docu/docu_0015.html","Doc0015. ChatGPT 관련 강의 : 인문학"
"CC202000250","/docu/docu_0001.html","Doc0001. 다이어트 혁명 (EBS 다큐프라임)"
"CC202000260","/docu/docu_0002.html","Doc0002. 시험 (EBS 다큐프라임) (18.06.06)"
"CC202000270","/docu/docu_0005.html","Doc0005. 대통령은 누구인가 (EBS 다큐프라임) (17.06.29)"
"CC202000280","/docu/docu_0006.html","Doc0006. 2017 시대탐구 청년 평범하고 싶다 (EBS 다큐프라임) (17.05.01)"
"CC202000290","/docu/docu_0007.html","Doc0007. 100세 쇼크 (EBS 다큐프라임) (17.08.31)"
"CC202000300","/docu/docu_0008.html","Doc0008. 언어발달의 수수께끼 (EBS 다큐프라임) (14.03.23)"
"CC202000310","/docu/docu_0009.html","Doc0009. 거대한 균열 (2022 KBS신년특집) (22.01.10)"
"CC202000320","/news/news_0010.html","News0010. 등대공장"
"CC202000330","/news/news_0001.html","News0001. 자바전쟁"
"CC202000340","/news/news_0002.html","News0002. AI와 암묵지"
"CC202000350","/news/news_0003.html","News0003. 코털"
"CC202000360","/news/news_0004.html","News0004. 짐로저스"
"CC202000370","/news/news_0005.html","News0005. 하버드생 달력"
"CC202000380","/news/news_0006.html","News0006. 인도인구"
"CC202000390","/news/news_0007.html","News0007. 저물가종료"
"CC202000400","/news/news_0008.html","News0008. 셧다운제"
"CC202000410","/news/news_0009.html","News0009. 그린플레이션"
"CC202000420","/news/news_0011.html","News0011. 자산거품"
"CC202000430","/news/news_0012.html","News0012. 가계부채:금융안정보고서(21.9)"
"CC202000440","/news/news_0013.html","News0013. 인증서"
"CC202000450","/etc/etc_7004.html","Etc7004. 내부회계"
"CC202000460","/etc/etc_8001.html","Etc8001. 리더진단"
"CC202000470","/etc/etc_8002.html","Etc8002. 필수교육"
"CC202000480","/etc/etc_8003.html","Etc8003. 안전"
"CC202000490","/etc/etc_9003.html","Etc9003. FP"
"CC202000500","/etc/etc_9004.html","Etc9004. KUDU"
"CC202000510","/etc/etc_9005.html","Etc9005. P2E"
"CC202000520","/etc/etc_9006.html","Etc9006. 개인정보"
"CC202000530","/pyhtml/my_pysource.html","MY Python Source"
"CC202000540","/contents/A0000001.pdf","파이썬 프로그래밍 기초"
"CC202000550","/contents/A0000002.pdf","변수 및 연산자"
"CC202000560","/contents/A0000003.pdf","데이터타입"
"CC202000570","/contents/A0000004.pdf","기본제어구조(선택 및 반복)"
"CC202000580","/contents/A0000006.pdf","리스트"
"CC202000590","/contents/A0000007.pdf","튜플 / 딕셔너리"
"CC202000600","/contents/A0000008.pdf","함수 1"
"CC202000610","/contents/A0000009.pdf","함수 2"
"CC202000620","/contents/A0000011.pdf","모듈_패키지"
"CC202000630","/contents/A0000012.pdf","tkinter 1"
"CC202000640","/contents/A0000014.pdf","tkinter 2 (미작성)"
"CC202000650","/contents/A0000016.pdf","파일 1"
"CC202000660","/contents/A0000017.pdf","파일 2"
"CC202000670","/contents/A0000018.pdf","객체지향 1"
"CC202000680","/contents/A0000019.pdf","객체지향 2"
"CC202000690","/contents/A0000020.pdf","객체지향 3"
"CC202000700","/contents/A0000015.pdf","인공지능 기초"
"CC202000710","/contents/A0000021.pdf","Numpy 1"
"CC202000720","/contents/A0000022.pdf","Numpy 2"
"CC202000730","/contents/A0000023.pdf","Pandas"
"CC202000740","/contents/A0000025.pdf","Matplotlib"
"CC202000750","/study/study_0071.html","파이썬 수강"
"CC202000760","/study/study_0072.html","비전공자를 위한 첫 코딩 챌린지"
"CC202000770","/contents/A0000005.pdf","주요 함수"
"CC202000780","/contents/A0000010.pdf","주의사항"
"CC202000790","/contents/A0000013.pdf","DeBug"
"CC202000800","/contents/B0000001.pdf","같이살자 우리모두"
"CC202000810","/contents/B0000002.pdf","당신도 빅뱅을 믿나요"
"CC202000820","/contents/B0000003.pdf","DNA의 배신_암"
"CC202000830","/contents/B0000004.pdf","지구가 찿는 것도 한계가 있다"
"CC202000840","/contents/B0000005.pdf","삶의 지혜를 죽음에게 묻다 (강의)"
"CC202000850","/contents/B0000006.pdf","진정한 행복의 7가지 조건 (강의)"
"CC202000980","/big/big_0001.html","01. 데이터의 이해"
"CC202000990","/big/big_0002.html","02. 데이터 분석 기획"
"CC202001000","/big/big_0003.html","03. 데이터분석개요"
"CC202001010","/big/big_0004.html","04. 데이터마트"
"CC202001020","/big/big_0005.html","05. 기초 통계"
"CC202001030","/big/big_0006.html","06. 가설검정_확률"
